year,J a n,F e b,M a r,A p r,M a y,J u n,J u l,A u g,S e p,O c t,N o v,D e c,Y T D
1997,,,,,,,,,,-12.97,9.96,8.14,3.49
1998,1.5,3.27,7.37,-1.63,8.53,2.98,1.51,10.99,4.51,-5.7,1.15,9.51,52.19
1999,-1.38,3.61,-3.99,10.51,-8.39,5.29,-2.01,-3.47,-0.17,-6.2,13.93,9.04,15.07
2000,-3.96,1.72,-3.28,2.05,-0.26,-1.27,-4.58,3.23,-7.76,2.09,7.33,16.81,10.44
2001,4.38,0.56,7.09,-5.31,-2.6,-2.66,0.66,0.56,4.64,13.75,-7.1,-5.15,7.12
2002,-10.13,-6.04,12.62,-3.76,-3.96,7.95,4.71,6.04,7.63,-7.96,-0.69,14.16,18.34
2003,5.96,11.95,-10.81,2.46,10.19,-5.21,-0.68,0.62,0.26,4.72,-2.48,10.27,27.76
2004,2.72,11.56,-0.8,-8.62,0.28,-2.96,1.33,3.09,5.14,4.03,6.37,-0.19,22.61
2005,-5.38,6.58,4.64,-4.21,6.62,3.13,-1.85,7.63,-6.17,-2.95,7.32,-4.37,9.71
2006,4.2,-2.58,4.01,5.66,-2.94,-1.17,-0.47,4.54,-1.1,1.48,3.24,2.14,17.82
2007,3.86,-5.93,-3.95,6.46,5.05,1.91,-1.18,-0.88,6.99,2.52,2.42,0.24,17.97
2008,3.85,7.95,-0.66,-0.99,1.99,5.06,-4.63,-3,-0.41,3.73,4.97,2.1,20.99
2009,0.99,-0.21,-1.64,-3.01,-2.03,-1.26,-1.52,0.32,2.85,-1.59,5.12,-2.45,-4.63
2010,-2.64,2.33,4.91,1.75,-1.01,1.47,-2.78,4.78,0.94,2.51,-2.01,3.75,14.46
2011,0.08,1.51,0.25,3,-2.16,-2.51,4.59,1.43,0.16,-2.59,0.97,1.65,6.29
2012,0.63,-0.83,-0.68,0.12,-0.22,-3.17,4.41,-1.29,-2.18,-2.54,1,1.36,-3.56
2013,2.51,0.17,2.66,3.41,-2.4,-1.77,-0.63,-3.8,3.47,3.2,2.2,0.37,9.42
2014,-2.37,2.5,-0.19,0.28,1.68,-0.57,-2.61,4,-0.6,4.38,5.86,1.09,13.87
2015,2.45,0.21,2.03,-4.06,0.74,-3.12,4.38,-4.3,3.9,-2.13,3.33,-1.94,0.93
2016,1.88,2.08,-4.03,-2.01,-1.73,3.95,1.15,-1.57,-0.51,-2.54,-0.81,1.38,-3
2017,-1.08,2.58,0.01,-0.65,0.49,-1.97,-0.12,3.12,-2.06,4.47,-0.02,3.09,7.89
2018,4.45,-5.03,-0.31,1.59,-0.28,1.16,-0.46,1.4,-0.12,-2.55,1.4,-1.5,-0.57
2019,-2.38,0.88,1.83,1.21,-0.71,-0.67,2.57,3.87,-2.87,-1.28,-0.76,1.49,3
2020,-0.1,-5.77,-7.37,0.41,-2.31,-2.76,0.03,-3.13,-0.24,-0.27,-4.09,3.27,-20.6
2021,0.75,2.83,0.02,2.55,2.23,-0.3,2.02,0.85,1.41,0.36,-3.61,3.3,12.92
2022,3.18,3.04,6.14,3.72,-0.57,1.14,-1.88,2.1,1.32,,,,19.49